Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Jaylen Brown,7,SG,6-6,223,"October 24, 1996",us US,3,California
Carsen Edwards,4,SG,5-11,200,"March 12, 1998",us US,R,Purdue
Tacko Fall,99,C,7-6,311,"December 10, 1995",sn SN,R,Central Florida
Enes Freedom,11,C,6-10,250,"May 20, 1992",ch CH,8,Kentucky
Javonte Green,43,SG,6-4,205,"July 23, 1993",us US,R,Radford
Gordon Hayward,20,SF,6-7,225,"March 23, 1990",us US,9,Butler
Romeo Langford,45,SG,6-5,216,"October 25, 1999",us US,R,Indiana
Semi Ojeleye,37,PF,6-6,240,"December 5, 1994",us US,2,"Duke, SMU"
Vincent Poirier,77,C,7-0,235,"October 17, 1993",fr FR,R,
Marcus Smart,36,SG,6-3,220,"March 6, 1994",us US,5,Oklahoma State
Jayson Tatum,0,PF,6-8,210,"March 3, 1998",us US,2,Duke
Daniel Theis,27,C,6-8,245,"April 4, 1992",de DE,2,
Kemba Walker,8,PG,6-0,184,"May 8, 1990",us US,8,UConn
Brad Wanamaker,9,PG,6-3,210,"July 25, 1989",us US,1,Pitt
Tremont Waters,51,PG,5-10,175,"January 10, 1998",us US,R,LSU
Grant Williams,12,PF,6-6,236,"November 30, 1998",us US,R,Tennessee
Robert Williams,44,C,6-9,237,"October 17, 1997",us US,1,Texas A&M
