Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Bam Adebayo,13,PF,6-9,255,"July 18, 1997",us US,2,Kentucky
Kyle Alexander,17,C,6-11,220,"October 21, 1996",ca CA,R,Tennessee
Jimmy Butler,22,SF,6-7,230,"September 14, 1989",us US,8,"Tyler Junior College, Marquette"
Jae Crowder,99,PF,6-6,235,"July 6, 1990",us US,7,Marquette
Goran DragiÄ,7,PG,6-4,190,"May 6, 1986",si SI,11,
Udonis Haslem,40,C,6-8,235,"June 9, 1980",us US,16,Florida
Tyler Herro,14,SG,6-5,195,"January 20, 2000",us US,R,Kentucky
Solomon Hill,44,PF,6-6,226,"March 18, 1991",us US,6,Arizona
Andre Iguodala,28,SF,6-6,215,"January 28, 1984",us US,15,Arizona
James Johnson,16,PF,6-7,240,"February 20, 1987",us US,10,Wake Forest
Derrick Jones Jr.,5,SF,6-5,210,"February 15, 1997",us US,3,UNLV
Meyers Leonard,0,C,7-0,260,"February 27, 1992",us US,7,Illinois
Daryl Macon,15,PG,6-2,185,"November 29, 1995",us US,1,Arkansas
Kendrick Nunn,25,PG,6-2,190,"August 3, 1995",us US,R,"Illinois, Oakland"
KZ Okpala,4,PF,6-8,215,"April 28, 1999",us US,R,Stanford
Kelly Olynyk,9,C,6-11,240,"April 19, 1991",ca CA,6,Gonzaga
Duncan Robinson,55,SG,6-7,215,"April 22, 1994",us US,1,"Williams, Michigan"
Chris Silva,30,PF,6-8,234,"September 19, 1996",ga GA,R,South Carolina
Gabe Vincent,2,PG,6-3,195,"June 14, 1996",us US,R,UC Santa Barbara
Dion Waiters,11,SG,6-3,215,"December 10, 1991",us US,7,Syracuse
Justise Winslow,20,SG,6-6,222,"March 26, 1996",us US,4,Duke
