Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Giannis Antetokounmpo,34,PF,6-11,242,"December 6, 1994",gr GR,6,
Thanasis Antetokounmpo,43,SF,6-7,219,"July 18, 1992",gr GR,1,
Dragan Bender,17,C,7-0,225,"November 17, 1997",ba BA,3,
Eric Bledsoe,6,PG,6-1,214,"December 9, 1989",us US,9,Kentucky
Sterling Brown,23,SF,6-5,219,"February 10, 1995",us US,2,SMU
Pat Connaughton,24,SG,6-5,209,"January 6, 1993",us US,4,Notre Dame
Donte DiVincenzo,0,SG,6-4,203,"January 31, 1997",us US,1,Villanova
George Hill,3,PG,6-4,188,"May 4, 1986",us US,11,IUPUI
Ersan Ä°lyasova,7,PF,6-9,235,"May 15, 1987",tr TR,11,
Kyle Korver,26,SF,6-7,212,"March 17, 1981",us US,16,Creighton
Brook Lopez,11,C,7-1,282,"April 1, 1988",us US,11,Stanford
Robin Lopez,42,C,7-1,281,"April 1, 1988",us US,11,Stanford
Frank Mason III,15,PG,5-11,190,"April 3, 1994",us US,2,Kansas
Wesley Matthews,9,SG,6-5,220,"October 14, 1986",us US,10,Marquette
Khris Middleton,22,SF,6-7,222,"August 12, 1991",us US,7,Texas A&M
Marvin Williams,20,PF,6-8,237,"June 19, 1986",us US,14,UNC
D.J. Wilson,5,PF,6-10,231,"February 19, 1996",us US,2,Michigan
