playerID,H,2B,3B,HR,AB,1B,Total_Bases,Slugging_Percentage
troutmi01,1324,251,46,285,4340,742,2522,0.5811059907834102
ortizda01,1014,252,5,224,3468,533,1948,0.5617070357554786
bellico01,443,88,14,111,1595,230,892,0.5592476489028213
judgeaa01,387,66,4,110,1417,207,791,0.5582215949188426
stantmi03,1141,239,11,308,4253,583,2326,0.546908064895368
arenano01,1160,253,27,227,3936,653,2148,0.5457317073170732
cabremi01,1595,324,5,268,5028,998,2733,0.5435560859188544
cruzne02,1461,275,9,346,5193,831,2792,0.5376468322742153
martijd02,1168,238,17,231,3972,682,2133,0.5370090634441088
storytr01,568,133,18,123,2061,294,1106,0.5366327025715673
acunaro01,302,48,6,67,1059,181,563,0.5316336166194523
bregmal01,545,140,11,99,1905,295,1004,0.5270341207349082
goldspa01,1337,292,20,243,4572,782,2398,0.5244969378827646
hamiljo03,767,163,15,139,2651,450,1377,0.5194266314598265
bettsmo01,965,229,26,139,3203,571,1663,0.5192007492975336
braunry02,1410,297,29,241,4796,843,2488,0.5187656380316931
encared01,1308,251,5,335,4963,717,2574,0.5186379206125328
sanchga02,343,61,1,105,1393,176,721,0.5175879396984925
gallojo01,281,60,6,110,1323,105,683,0.5162509448223734
bryankr01,751,167,16,138,2643,430,1364,0.5160802118804388
vottojo01,1532,327,16,231,5009,958,2584,0.5158714314234378
beltrad01,1466,288,12,227,4783,939,2459,0.5141124817060422
abreujo02,1038,218,14,179,3547,627,1821,0.5133915985339724
olsonma02,323,62,0,89,1273,172,652,0.5121759622937941
harpebr03,1071,219,19,219,3879,614,1985,0.5117298272750709
donaljo02,1048,226,12,219,3841,591,1955,0.5089820359281437
blackch02,1244,227,47,172,4092,798,2081,0.5085532746823069
gonzaca01,1280,266,32,217,4453,765,2261,0.507747585897148
bautijo02,1078,222,9,285,4297,562,2173,0.505701652315569
tulowtr01,931,180,8,160,3179,583,1607,0.5055048757470902
dickeco01,776,190,29,115,2716,442,1369,0.5040500736377025
freemfr01,1451,319,22,227,4953,883,2495,0.5037351100343226
muncyma01,268,49,4,75,1097,140,550,0.5013673655423884
deverra01,372,92,4,63,1319,213,661,0.5011372251705838
chapmma01,365,101,11,74,1420,179,710,0.5
daviskh01,782,154,8,216,3207,404,1600,0.4989086373557842
sanomi01,437,87,6,118,1786,226,890,0.49832026875699886
cespeyo01,865,172,24,163,3160,506,1574,0.4981012658227848
canoro01,1695,363,16,237,5647,1079,2801,0.49601558349566144
renfrhu01,311,70,3,89,1323,149,654,0.4943310657596372
hoskirh01,310,78,5,81,1298,146,641,0.4938366718027735
lindofr01,835,178,15,130,2904,512,1433,0.49345730027548207
yelicch01,1067,209,24,139,3541,695,1741,0.49166902005083307
seageco01,545,130,8,73,1854,334,910,0.49083063646170444
schwaky01,380,65,8,110,1615,197,791,0.48978328173374613
rendoan01,994,245,15,136,3424,598,1677,0.48977803738317754
correca01,573,119,7,102,2068,345,1012,0.48936170212765956
rizzoan01,1204,262,18,218,4414,706,2156,0.48844585410058905
springe01,782,131,11,160,2898,480,1415,0.48826777087646656
kempma01,1285,253,19,220,4590,793,2236,0.4871459694989107
hartco01,509,104,12,95,1898,298,922,0.4857744994731296
ramirjo01,776,197,22,110,2774,447,1347,0.4855803893294881
mancitr01,480,88,9,86,1741,297,844,0.48477886272257326
baezja01,626,133,16,110,2316,367,1121,0.4840241796200345
machama01,1200,232,14,207,4307,747,2081,0.4831669375435338
grichra01,561,144,20,122,2301,275,1111,0.4828335506301608
confomi01,491,109,4,109,1943,269,935,0.48121461657231085
mccutan01,1540,308,39,221,5388,972,2589,0.48051224944320714
hollima01,1066,241,6,164,3772,655,1811,0.4801166489925769
hanigmi01,353,78,8,62,1320,205,633,0.47954545454545455
rosared01,684,127,22,106,2451,429,1173,0.4785801713586291
gourryu01,516,123,4,65,1760,324,842,0.4784090909090909
peralda01,704,132,35,85,2429,452,1161,0.4779744750926307
thameer01,426,95,17,93,1745,221,834,0.47793696275071634
solerjo01,405,91,3,86,1591,225,760,0.4776869893148963
quentca01,390,104,2,83,1564,201,747,0.47762148337595906
belljo02,452,102,13,78,1705,259,814,0.4774193548387097
soriaal01,589,147,7,122,2339,313,1116,0.4771269773407439
hernate01,256,61,9,60,1081,126,515,0.47641073080481033
gattiev01,605,116,12,139,2443,338,1162,0.47564469914040114
pujolal01,1485,274,2,290,5541,919,2633,0.4751849846598087
konerpa01,650,101,1,113,2299,435,1092,0.47498912570682905
puigya01,834,159,21,132,3015,522,1431,0.4746268656716418
fieldpr01,970,182,2,159,3441,627,1633,0.4745713455390875
pederjo01,473,108,7,123,2032,235,964,0.4744094488188976
uptonju01,1373,275,22,255,5186,821,2457,0.47377554955649825
albieoz01,418,92,18,54,1496,254,708,0.4732620320855615
zimmery01,1112,240,10,179,4036,683,1909,0.4729930624380575
gonzaad01,1326,284,4,180,4563,858,2158,0.47293447293447294
rosarwi01,413,83,3,71,1512,256,715,0.4728835978835979
suareeu01,747,122,11,147,2817,467,1332,0.4728434504792332
ramirar01,800,178,7,122,2873,493,1358,0.472676644622346
phamth01,504,87,15,79,1819,323,858,0.47168774051676743
aguilje01,293,53,2,63,1143,175,539,0.4715660542432196
turneju01,980,225,8,120,3353,627,1581,0.47151804354309573
casteni01,930,229,32,120,3360,549,1583,0.4711309523809524
contrwi01,391,80,8,67,1463,236,688,0.47026657552973344
beltrca01,1020,225,14,162,3741,619,1759,0.4701951349906442
bruceja01,1250,275,27,269,5076,679,2386,0.47005516154452326
napolmi01,844,169,8,201,3476,466,1632,0.46950517836593786
adamsma01,609,127,6,116,2336,360,1096,0.4691780821917808
polloaj01,722,159,30,89,2585,444,1208,0.46731141199226306
turnetr01,566,103,25,63,1944,375,908,0.4670781893004115
mossbr01,586,122,9,145,2487,310,1161,0.46682750301568154
dejonpa01,360,82,3,74,1436,201,670,0.46657381615598886
cuddymi01,731,160,14,90,2554,467,1189,0.46554424432263114
morsemi01,602,118,7,99,2217,378,1031,0.465042850699143
longoev01,1417,307,23,237,5351,850,2481,0.46365165389646795
scottlu01,306,75,4,59,1223,168,566,0.4627964022894522
altuvjo01,1568,299,28,128,4985,1113,2307,0.46278836509528587
croncj01,601,120,6,114,2325,361,1075,0.46236559139784944
carpema01,1092,284,27,148,4056,633,1874,0.4620315581854043
youklke01,348,80,9,57,1336,202,617,0.46182634730538924
duvalad01,414,96,10,97,1780,211,821,0.46123595505617976
murphda08,1367,321,22,121,4546,903,2095,0.4608446986361637
teixema01,695,142,2,167,2913,384,1342,0.4606934431857192
wrighda03,794,168,13,102,2813,511,1294,0.4600071098471383
jonesad01,1647,287,18,251,5920,1091,2723,0.4599662162162162
tomasya01,295,60,5,48,1108,182,509,0.45938628158844763
trumbma01,1018,182,11,218,4085,607,1876,0.45924112607099143
diazal02,363,83,4,51,1322,225,607,0.45915279878971255
martijo08,344,57,3,41,1156,243,530,0.458477508650519
