Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Kostas Antetokounmpo,37,PF,6-10,200,"November 20, 1997",gr GR,1,Dayton
Avery Bradley,11,SG,6-3,180,"November 26, 1990",us US,9,Texas
Devontae Cacok,12,C,6-7,240,"October 8, 1996",us US,R,UNC Wilmington
Kentavious Caldwell-Pope,1,SG,6-5,204,"February 18, 1993",us US,6,Georgia
Alex Caruso,4,PG,6-5,186,"February 28, 1994",us US,2,Texas A&M
Quinn Cook,"2, 28",PG,6-1,180,"March 23, 1993",us US,3,Duke
Troy Daniels,30,SG,6-4,200,"July 15, 1991",us US,6,VCU
Anthony Davis,3,PF,6-10,253,"March 11, 1993",us US,7,Kentucky
Jared Dudley,10,PF,6-6,237,"July 10, 1985",us US,12,Boston College
Danny Green,14,SG,6-6,215,"June 22, 1987",us US,10,UNC
Talen Horton-Tucker,5,SG,6-4,234,"November 25, 2000",us US,R,Iowa State
Dwight Howard,39,C,6-10,265,"December 8, 1985",us US,15,
LeBron James,23,PG,6-9,250,"December 30, 1984",us US,16,
Kyle Kuzma,0,PF,6-9,221,"July 24, 1995",us US,2,Utah
JaVale McGee,7,C,7-0,270,"January 19, 1988",us US,11,Nevada
Markieff Morris,88,PF,6-9,245,"September 2, 1989",us US,8,Kansas
Zach Norvell,21,SG,6-5,206,"December 9, 1997",us US,R,Gonzaga
Rajon Rondo,9,PG,6-1,180,"February 22, 1986",us US,13,Kentucky
J.R. Smith,21,SG,6-6,225,"September 9, 1985",us US,15,North Carolina A&T
Dion Waiters,18,SG,6-3,215,"December 10, 1991",us US,7,Syracuse
Bam Adebayo,13,PF,6-9,255,"July 18, 1997",us US,2,Kentucky
Kyle Alexander,17,C,6-11,220,"October 21, 1996",ca CA,R,Tennessee
Jimmy Butler,22,SF,6-7,230,"September 14, 1989",us US,8,"Tyler Junior College, Marquette"
Jae Crowder,99,PF,6-6,235,"July 6, 1990",us US,7,Marquette
Goran DragiÄ,7,PG,6-4,190,"May 6, 1986",si SI,11,
Udonis Haslem,40,C,6-8,235,"June 9, 1980",us US,16,Florida
Tyler Herro,14,SG,6-5,195,"January 20, 2000",us US,R,Kentucky
Solomon Hill,44,PF,6-6,226,"March 18, 1991",us US,6,Arizona
Andre Iguodala,28,SF,6-6,215,"January 28, 1984",us US,15,Arizona
James Johnson,16,PF,6-7,240,"February 20, 1987",us US,10,Wake Forest
Derrick Jones Jr.,5,SF,6-5,210,"February 15, 1997",us US,3,UNLV
Meyers Leonard,0,C,7-0,260,"February 27, 1992",us US,7,Illinois
