 ,,,,,,,,,,,,,,,,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,Tue Oct 24 2023,7:30p,,Box Score,@,Denver Nuggets,L,,107,119,0,1,L 1,19842,2:17,
2,Thu Oct 26 2023,10:00p,,Box Score,,Phoenix Suns,W,,100,95,1,1,W 1,18997,2:26,
3,Sun Oct 29 2023,9:00p,,Box Score,@,Sacramento Kings,L,OT,127,132,1,2,L 1,18198,2:38,
4,Mon Oct 30 2023,10:30p,,Box Score,,Orlando Magic,W,,106,103,2,2,W 1,18997,2:18,
5,Wed Nov 1 2023,10:00p,,Box Score,,Los Angeles Clippers,W,OT,130,125,3,2,W 2,18997,2:46,
6,Sat Nov 4 2023,7:00p,,Box Score,@,Orlando Magic,L,,101,120,3,3,L 1,18846,2:21,
7,Mon Nov 6 2023,7:30p,,Box Score,@,Miami Heat,L,,107,108,3,4,L 2,19725,2:10,
8,Wed Nov 8 2023,8:00p,,Box Score,@,Houston Rockets,L,,94,128,3,5,L 3,18055,2:11,
9,Fri Nov 10 2023,10:00p,,Box Score,@,Phoenix Suns,W,,122,119,4,5,W 1,17071,2:33,In-Season Tournament
10,Sun Nov 12 2023,10:00p,,Box Score,,Portland Trail Blazers,W,,116,110,5,5,W 2,18997,2:11,
11,Tue Nov 14 2023,10:30p,,Box Score,,Memphis Grizzlies,W,,134,107,6,5,W 3,18430,2:14,In-Season Tournament
12,Wed Nov 15 2023,10:00p,,Box Score,,Sacramento Kings,L,,110,125,6,6,L 1,18687,2:13,
13,Fri Nov 17 2023,10:00p,,Box Score,@,Portland Trail Blazers,W,,107,95,7,6,W 1,18570,2:08,In-Season Tournament
14,Sun Nov 19 2023,9:30p,,Box Score,,Houston Rockets,W,,105,104,8,6,W 2,18997,2:21,
15,Tue Nov 21 2023,10:00p,,Box Score,,Utah Jazz,W,,131,99,9,6,W 3,18997,2:09,In-Season Tournament
16,Wed Nov 22 2023,10:30p,,Box Score,,Dallas Mavericks,L,,101,104,9,7,L 1,18997,2:12,
17,Sat Nov 25 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,121,115,10,7,W 1,19432,2:12,
18,Mon Nov 27 2023,7:00p,,Box Score,@,Philadelphia 76ers,L,,94,138,10,8,L 1,19907,2:11,
19,Wed Nov 29 2023,7:00p,,Box Score,@,Detroit Pistons,W,,133,107,11,8,W 1,20062,2:13,
20,Thu Nov 30 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,110,133,11,9,L 1,17401,2:07,
21,Sat Dec 2 2023,10:30p,,Box Score,,Houston Rockets,W,,107,97,12,9,W 1,18997,2:17,
22,Tue Dec 5 2023,10:00p,,Box Score,,Phoenix Suns,W,,106,103,13,9,W 2,18664,2:28,In-Season Tournament
23,Thu Dec 7 2023,9:00p,,Box Score,,New Orleans Pelicans,W,,133,89,14,9,W 3,18017,2:12,In-Season Tournament
24,Tue Dec 12 2023,7:30p,,Box Score,@,Dallas Mavericks,L,,125,127,14,10,L 1,20377,2:21,
25,Wed Dec 13 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,122,119,15,10,W 1,18354,2:14,
26,Fri Dec 15 2023,7:30p,,Box Score,@,San Antonio Spurs,L,,115,129,15,11,L 1,18354,2:14,
27,Mon Dec 18 2023,10:30p,,Box Score,,New York Knicks,L,,109,114,15,12,L 2,18997,2:16,
28,Wed Dec 20 2023,8:00p,,Box Score,@,Chicago Bulls,L,,108,124,15,13,L 3,21234,2:00,
29,Thu Dec 21 2023,9:00p,,Box Score,@,Minnesota Timberwolves,L,,111,118,15,14,L 4,18024,2:17,
30,Sat Dec 23 2023,8:00p,,Box Score,@,Oklahoma City Thunder,W,,129,120,16,14,W 1,18203,2:08,
31,Mon Dec 25 2023,5:00p,,Box Score,,Boston Celtics,L,,115,126,16,15,L 1,18997,2:17,
32,Thu Dec 28 2023,10:30p,,Box Score,,Charlotte Hornets,W,,133,112,17,15,W 1,18997,2:03,
33,Sat Dec 30 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,106,108,17,16,L 1,18024,2:29,
34,Sun Dec 31 2023,7:00p,,Box Score,@,New Orleans Pelicans,L,,109,129,17,17,L 2,18434,2:07,
35,Wed Jan 3 2024,10:00p,,Box Score,,Miami Heat,L,,96,110,17,18,L 3,18997,2:14,
36,Fri Jan 5 2024,10:00p,,Box Score,,Memphis Grizzlies,L,,113,127,17,19,L 4,18997,2:15,
37,Sun Jan 7 2024,9:30p,,Box Score,,Los Angeles Clippers,W,,106,103,18,19,W 1,18997,2:16,
