Rk,Team,Season,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,
1.0,Connecticut Sun,2022.0,28.0,25.0,11.0,29,7,8.03,-0.8,7.23,108.5,98.3,10.2,78.5,2022.0
2.0,Las Vegas Aces,2022.0,26.9,26.0,10.0,26,10,6.36,-0.59,5.78,111.9,104.0,7.9,80.6,2022.0
3.0,Chicago Sky,2022.0,30.0,26.0,10.0,25,11,5.0,-0.15,4.85,107.7,101.5,6.2,79.2,2022.0
4.0,Washington Mystics,2022.0,28.0,22.0,14.0,25,11,4.36,-0.55,3.82,103.5,97.8,5.7,76.7,2022.0
5.0,Seattle Storm,2022.0,29.7,22.0,14.0,24,12,4.11,-0.2,3.91,104.9,99.7,5.2,78.3,2022.0
6.0,Dallas Wings,2022.0,25.4,18.0,18.0,18,18,0.19,-0.16,0.04,106.6,106.3,0.3,77.6,2022.0
7.0,Minnesota Lynx,2022.0,28.5,14.0,22.0,16,20,-1.47,0.29,-1.19,104.4,106.3,-1.9,78.4,2022.0
8.0,New York Liberty,2022.0,26.9,16.0,20.0,14,22,-2.39,0.42,-1.97,101.1,104.1,-3.0,77.9,2022.0
9.0,Atlanta Dream,2022.0,26.2,14.0,22.0,13,23,-3.0,0.02,-2.98,98.1,101.8,-3.7,79.5,2022.0
10.0,Phoenix Mercury,2022.0,29.9,15.0,21.0,14,22,-3.0,0.04,-2.97,102.6,106.4,-3.8,78.2,2022.0
11.0,Los Angeles Sparks,2022.0,27.2,13.0,23.0,8,28,-7.11,0.62,-6.49,99.6,108.6,-9.0,79.5,2022.0
12.0,Indiana Fever,2022.0,25.4,5.0,31.0,5,31,-11.08,1.06,-10.02,96.6,110.3,-13.7,80.2,2022.0
1.0,Las Vegas Aces,2023.0,29.0,34.0,6.0,35,5,12.55,-1.09,11.46,114.8,99.2,15.6,80.9,2023.0
2.0,New York Liberty,2023.0,28.8,32.0,8.0,32,8,8.68,-0.53,8.14,111.8,101.0,10.8,79.0,2023.0
3.0,Connecticut Sun,2023.0,29.1,27.0,13.0,26,14,3.7,-0.27,3.43,105.4,100.7,4.7,77.7,2023.0
4.0,Dallas Wings,2023.0,26.0,22.0,18.0,25,15,2.95,-0.31,2.64,109.5,105.8,3.7,80.0,2023.0
5.0,Washington Mystics,2023.0,28.8,19.0,21.0,19,21,-0.35,0.03,-0.32,101.5,102.0,-0.5,79.1,2023.0
6.0,Atlanta Dream,2023.0,26.5,19.0,21.0,18,22,-1.48,0.47,-1.01,101.1,102.9,-1.8,81.1,2023.0
7.0,Chicago Sky,2023.0,27.2,18.0,22.0,17,23,-1.63,0.11,-1.52,103.3,105.3,-2.0,78.7,2023.0
8.0,Los Angeles Sparks,2023.0,28.3,17.0,23.0,17,23,-1.63,-0.02,-1.65,100.1,102.2,-2.1,78.6,2023.0
9.0,Indiana Fever,2023.0,25.9,13.0,27.0,13,27,-4.05,0.2,-3.85,103.0,108.1,-5.1,77.9,2023.0
10.0,Minnesota Lynx,2023.0,26.7,19.0,21.0,12,28,-4.83,0.32,-4.51,101.4,107.5,-6.1,78.6,2023.0
11.0,Seattle Storm,2023.0,26.5,11.0,29.0,11,29,-5.63,0.55,-5.07,98.7,105.8,-7.1,79.6,2023.0
12.0,Phoenix Mercury,2023.0,27.8,9.0,31.0,8,32,-8.3,0.55,-7.75,99.1,109.9,-10.8,77.0,2023.0
1.0,New York Liberty,2024.0,28.5,32.0,8.0,33,7,9.15,-1.09,8.06,109.6,97.9,11.7,78.1,2024.0
2.0,Connecticut Sun,2024.0,28.9,28.0,12.0,31,9,6.5,-0.75,5.75,105.0,96.4,8.6,75.8,2024.0
3.0,Minnesota Lynx,2024.0,27.9,30.0,10.0,30,10,6.38,-0.74,5.64,104.6,96.5,8.1,77.7,2024.0
4.0,Las Vegas Aces,2024.0,29.6,27.0,13.0,29,11,5.48,-0.7,4.77,108.0,101.2,6.8,79.7,2024.0
5.0,Seattle Storm,2024.0,29.1,25.0,15.0,27,13,4.48,-0.56,3.92,104.2,98.6,5.6,79.4,2024.0
6.0,Indiana Fever,2024.0,25.5,20.0,20.0,16,24,-2.68,0.49,-2.19,106.1,109.5,-3.4,79.8,2024.0
7.0,Atlanta Dream,2024.0,27.7,15.0,25.0,15,25,-2.75,0.36,-2.39,99.0,102.5,-3.5,77.1,2024.0
8.0,Washington Mystics,2024.0,27.3,14.0,26.0,15,25,-2.98,0.54,-2.44,99.7,103.4,-3.7,79.1,2024.0
9.0,Phoenix Mercury,2024.0,30.4,19.0,21.0,15,25,-3.3,0.33,-2.97,103.6,107.8,-4.2,78.2,2024.0
10.0,Chicago Sky,2024.0,26.1,13.0,27.0,12,28,-5.13,0.46,-4.67,99.1,105.6,-6.5,78.2,2024.0
11.0,Los Angeles Sparks,2024.0,27.0,8.0,32.0,9,31,-7.23,0.92,-6.3,98.6,107.7,-9.1,79.2,2024.0
12.0,Dallas Wings,2024.0,26.8,9.0,31.0,9,31,-7.93,0.75,-7.18,104.2,114.0,-9.8,80.1,2024.0
